URL	Tracking URL	Title	Description	Keywords
http://australia.creditcards.com/credit-card-news/all-credit-card-news-stories.php	http://australia.creditcards.com/credit-card-news/all-credit-card-news-stories.php?a_aid=1017&a_cid=1204	All credit card news: complete article archive	This archive contains all credit cards news stories and articles from the CreditCards.com editorial team.	
http://australia.creditcards.com/credit-card-news/bad-credit-credit-repair-stories.php	http://australia.creditcards.com/credit-card-news/bad-credit-credit-repair-stories.php?a_aid=1017&a_cid=1204	Bad credit credit cards article archive at CreditCards.com	Confused about credit repair, bankruptcy, bad credit or debt collection? Find your bad credit answers in this archive of news stories and articles from the CreditCards.com editorial team.	bad, credit, card
http://australia.creditcards.com/credit-card-news/balance-transfer-debt-consolidation-stories.php	http://australia.creditcards.com/credit-card-news/balance-transfer-debt-consolidation-stories.php?a_aid=1017&a_cid=1204	Balance transfer, debt consolidation credit cards archive	Considering consolidating your credit card debt witha balance transfer? Learn your options in this archive of debt consolidation news stories and articles.	
http://australia.creditcards.com/credit-card-news/breaking-news-stories.php	http://australia.creditcards.com/credit-card-news/breaking-news-stories.php?a_aid=1017&a_cid=1204	Breaking news: Stories and Resources		
http://australia.creditcards.com/credit-card-news/cash-back-cards-stories.php	http://australia.creditcards.com/credit-card-news/cash-back-cards-stories.php?a_aid=1017&a_cid=1204	Cash back cards: News article archive	We all love rewards cards, and the most popular of all is cash back	cash, back, article, archive
http://australia.creditcards.com/credit-card-news/cashing-in-stories.php	http://australia.creditcards.com/credit-card-news/cashing-in-stories.php?a_aid=1017&a_cid=1204	Cashing In: Expert Q&A with Tony Mecia	Rewards cards are hugely popular -- but they can be complex and confusing, too. In this column, Tony Mecia helps rewards program cardholders navigate the latest trends and offerings.	rewards, credit, cards, 
http://australia.creditcards.com/credit-card-news/cccom-card-category-stories-stories.php	http://australia.creditcards.com/credit-card-news/cccom-card-category-stories-stories.php?a_aid=1017&a_cid=1204	CCCOM Card Category Stories: Stories and Resources		
http://australia.creditcards.com/credit-card-news/credit-account-management-stories.php	http://australia.creditcards.com/credit-card-news/credit-account-management-stories.php?a_aid=1017&a_cid=1204	Credit account management: Starting, keeping improving credit	Credit card management articles offer information on managing debt effectively. From the CreditCards.com editorial team.	credit, card, account, management
http://australia.creditcards.com/credit-card-news/credit-card-help-stories.php	http://australia.creditcards.com/credit-card-news/credit-card-help-stories.php?a_aid=1017&a_cid=1204	Credit Card Help: Stories and Resources		
http://australia.creditcards.com/credit-card-news/credit-card-stories.php	http://australia.creditcards.com/credit-card-news/credit-card-stories.php?a_aid=1017&a_cid=1204	Credit card news archive	Credit card news stories and articles archive at CreditCards.com.	
http://australia.creditcards.com/credit-card-news/credit-card-videos-stories.php	http://australia.creditcards.com/credit-card-news/credit-card-videos-stories.php?a_aid=1017&a_cid=1204	Credit card videos: Stories and Resources		
http://australia.creditcards.com/credit-card-news/credit-care-stories-archive-1581.php	http://australia.creditcards.com/credit-card-news/credit-care-stories-archive-1581.php?a_aid=1017&a_cid=1204	Credit Care: Archive of questions and expert answers	Here's where you'll find all of the reader questions and answers from Credit Care expert Kim McGrigg 	credit care, reader, qa, kim mcgrigg
http://australia.creditcards.com/credit-card-news/credit-score-report-stories.php	http://australia.creditcards.com/credit-card-news/credit-score-report-stories.php?a_aid=1017&a_cid=1204	Credit Score Report: Stories and Resources	This archive includes all the weekly Credit Score Report columns addressing reader questions regarding credit scores and credit reports. <a href="http://www.creditcards.com/expert-corner-form.php">Ask a question of Credit Score Report.</a>	credit, score, report, fico, bureau, card, history
