URL	Tracking URL	Title	Description	Keywords
http://australia.creditcards.com/Reward-Options-For-Business-Credit-Cards.php	http://australia.creditcards.com/Reward-Options-For-Business-Credit-Cards.php?a_aid=1017&a_cid=1204	Reward options for business credit cards: miles, rewards and cash back	Discussion of reward options for business credit cards involving frequent flyer miles, rewards and cash back programs through Visa, MasterCard, Discover Card and American Express; Corporate credit card and small business credit card versions of airline mi	Business Credit Cards, Rewards, Cash Back, Visa, MasterCard, Discover Card, American Express, corporate credit card, credit cards, credit card
http://australia.creditcards.com/credit-card-news/credit-card-technology-reduces-cards-1273.php	http://australia.creditcards.com/credit-card-news/credit-card-technology-reduces-cards-1273.php?a_aid=1017&a_cid=1204	Credit card technology reduces the number of cards you carry	New credit card technology may allow you to carry just one universal credit card. Learn about the iCache.	credit cards, iCache, American Express, Chase, Discover, credit card, debit cards, debit card, iPod
http://australia.creditcards.com/credit-card-news/microsoft-micropayments-1271.php	http://australia.creditcards.com/credit-card-news/microsoft-micropayments-1271.php?a_aid=1017&a_cid=1204	Planned Microsoft micropayments system may challenge credit card fees	Xbox maker Microsoft noted its planned payment system would allow merchants to take micropayments -- presenting a potential that would challenge to credit card companies.	Microsoft, credit card, Xbox, low interest credit cards, airline credit cards
http://australia.creditcards.com/credit-card-news/beware-tax-time-mail-theft-1282.php	http://australia.creditcards.com/credit-card-news/beware-tax-time-mail-theft-1282.php?a_aid=1017&a_cid=1204	Beware of mail theft at tax time	Tax season is a popular time for mail thieves to steal W-2s, which can allow them to open credit card and other accounts in the victim's name.	tax, tax time, tax season, credit card, credit card applications, W-2s, W-2 theft, mailbox theft
http://australia.creditcards.com/credit-card-news/help-your-credit-score-tips-1270.php	http://australia.creditcards.com/credit-card-news/help-your-credit-score-tips-1270.php?a_aid=1017&a_cid=1204	Use your credit card to help your credit score	Don't end up with no credit! Find out how to help your credit score by using your credit card.	credit card, credit score, credit, credit history, credit cards, cash back credit cards, cash back credit card, reward credit cards, reward credit card, free credit report
http://australia.creditcards.com/credit-card-news/credit-card-vending-machines-dallas-1273.php	http://australia.creditcards.com/credit-card-news/credit-card-vending-machines-dallas-1273.php?a_aid=1017&a_cid=1204	Dallas vending machines let the thirsty pay by credit card	Credit card usage has expanded into new areas, including vending machines in Dallas.	credit card, Cadbury Schweppes, credit cards, Visa, American Express, MasterCard, MasterCard PayPass, PayPass, debit cards
http://australia.creditcards.com/credit-card-news/credit-card-tax-payments-benefits-1273.php	http://australia.creditcards.com/credit-card-news/credit-card-tax-payments-benefits-1273.php?a_aid=1017&a_cid=1204	Pay your taxes with a credit card	Learn the benefits of credit card tax payments including transaction security and e-filing.	taxes, credit card, tax, credit cards, reward credit card, cash back credit card, airline credit card, business credit card
http://australia.creditcards.com/credit-card-news/credit-card-sponsorship-of-World-Cup-1264.php	http://australia.creditcards.com/credit-card-news/credit-card-sponsorship-of-World-Cup-1264.php?a_aid=1017&a_cid=1204	Credit card sponsorship of World Cup put on hold	World Cup sponsorship in question as MasterCard and Visa battle FIFA.	World Cup MasterCard master card FIFA Visa soccer football
http://australia.creditcards.com/credit-card-news/mastercard-debit-card-news-1273.php	http://australia.creditcards.com/credit-card-news/mastercard-debit-card-news-1273.php?a_aid=1017&a_cid=1204	Debit cards included in revised MasterCard, Bank of America pricing agreement	MasterCard has revised its agreement with Bank of America regarding debit cards.	debit cards, MasterCard, Bank of America, BofA, Visa
http://australia.creditcards.com/credit-card-news/senate-credit-card-industry-reforms-1282.php	http://australia.creditcards.com/credit-card-news/senate-credit-card-industry-reforms-1282.php?a_aid=1017&a_cid=1204	Senate considers credit card industry reforms	Critics are focusing on credit card industry practices they believe are a danger to consumers, although Capital One and others have risen to the credit card industry's defense.	credit card, interest rates, interest rate, reward credit cards, Capital One, U.S. Senate
http://australia.creditcards.com/credit-card-news/credit-card-reward-points-can-be-revoked-1277.php	http://australia.creditcards.com/credit-card-news/credit-card-reward-points-can-be-revoked-1277.php?a_aid=1017&a_cid=1204	Credit card reward points could disappear without notice	Don't sit on points too long. Rewards programs, while popular, last only as long as the company says they do. 	credit card, reward credit cards, reward credit card, credit cards, reward points
http://australia.creditcards.com/credit-card-news/credit-card-processing-nyc-cabs-1273.php	http://australia.creditcards.com/credit-card-news/credit-card-processing-nyc-cabs-1273.php?a_aid=1017&a_cid=1204	Plan requires NYC taxis to accept credit, debit cards	A new plan in New York City could require taxi drivers to accept payment in the form of credit cards and debit cards.	credit cards, debit cards, credit card, debit card, cash back, airline miles
http://australia.creditcards.com/credit-card-news/discover-card-morgan-stanley-1264.php	http://australia.creditcards.com/credit-card-news/discover-card-morgan-stanley-1264.php?a_aid=1017&a_cid=1204	Discover to be spun off from Morgan Stanley	Morgan Stanley has announced its plan to spin off the Discover card, allowing it to compete more independently.	Discover, Morgan Stanley, credit card, MasterCard, Visa, American Express, Bank of America, Chase, Citibank
http://australia.creditcards.com/credit-card-news/travel-reward-credit-card-points-for-stays-1277.php	http://australia.creditcards.com/credit-card-news/travel-reward-credit-card-points-for-stays-1277.php?a_aid=1017&a_cid=1204	Hotel loyalty programs undergo point value changes	Hotels are increasing the amount of travel reward credit card points needed for free stays.	reward credit cards, credit cards, Hilton Hotels, Hilton, Starwood, Hilton HHonors, Hilton HHonors Platinum Credit Card, Hilton HHonors Visa Credit Card, credit card, Starwood Preferred Guest Credit Card
http://australia.creditcards.com/credit-card-news/business-breakthrough-challenge-by-visa-1269.php	http://australia.creditcards.com/credit-card-news/business-breakthrough-challenge-by-visa-1269.php?a_aid=1017&a_cid=1204	Visa offers the business breakthrough challenge	Small business owners who enter the Business Breakthrough Challenge, presented by Visa, can win prizes that will help their business to run more efficiently.	Visa, business credit card, credit card, credit cards, debit cards, Business Breakthrough Challenge, Business Breakthrough
http://australia.creditcards.com/credit-card-news/card-payment-mistakes-cause-interest-rate-increases-1267.php	http://australia.creditcards.com/credit-card-news/card-payment-mistakes-cause-interest-rate-increases-1267.php?a_aid=1017&a_cid=1204	Card payment mistakes cause interest rate increases	Find out why your interest may be increasing due to small mistakes in your payments.	credit card, interest rate, minimum payment, low interest credit card, credit cards09io
http://australia.creditcards.com/credit-card-news/credit-card-freeze-1270.php	http://australia.creditcards.com/credit-card-news/credit-card-freeze-1270.php?a_aid=1017&a_cid=1204	Credit freezes go national, get chilly welcome	All three major credit bureaus have rolled out credit freezes as an identity theft fighting tool, but consumer rights groups say the changes don't go far enough.	identity theft fraud credit freeze experian equifax transunion bureaus reporting agencies consumers cards
http://australia.creditcards.com/credit-card-news/visa-warns-2006-holiday-sales-1276.php	http://australia.creditcards.com/credit-card-news/visa-warns-2006-holiday-sales-1276.php?a_aid=1017&a_cid=1204	Visa warns of potential for weaker holiday '06 sales	Visa has cautioned that sales for the 2006 holiday season may be weaker than it previously estimated.	Visa, holiday, credit card, credit cards, low interest credit cards, reward credit cards 2006
http://australia.creditcards.com/credit-card-news/visa-credit-card-company-structure-1264.php	http://australia.creditcards.com/credit-card-news/visa-credit-card-company-structure-1264.php?a_aid=1017&a_cid=1204	Visa's corporate structure	Before it went public, Visa had a decentralized structure.	Visa, Visa International Service Association, Visa U.S.A., Visa Europe, Visa Canada, MasterCard
